"fips","county_name","state_postal","region","election_date","racetype","tvotes","clinton","obama","edwards","margin","winner","POP05_SQMI","popUnder30_00","pop65up_00","presVote04","kerry04","Bush04","pres04margin","pres04winner","pop06","pop00","hisp06","white06","black06","indian06","asian06","hawaii06","mixed06","pct_less_30k","pct_more_100k","pct_hs_grad","pct_labor_force","pct_homeowner","unempFeb07","unempFeb08","unempChg","pctUnins00","subForPctHomes","poverty05","median_hhi05","Catholic","So.Bapt.Conv","Un.Methodist","E.L.C.A.","Construction","Manufacturing","FinancialActivities","GoodsProducing","ServiceProviding","black06pct","hisp06pct","white06pct","growth"
53007,"Chelan","WA","W","2/9/08","Caucus",245,66,178,0,0.457142857,"obama",22.9,27.5,13.9,29396,0.356204926,0.628724997,0.272520071,"bush",71034,66749,15226,53467,200,597,559,64,921,0.3993,0.094062976,0.7907,0.6359,0.6463,7,7,0,19.8,0.03,13.9,40132,0.146781553981026,0.0237330371082022,0.03156899243425,0.0261798967215083,6.003120497,5.496679143,3.383096454,47.4554306,52.5445694,0.00281555311540952,0.214348058676127,0.752695892108005,6.41957182879145
53009,"Clallam","WA","W","2/9/08","Caucus",304,78,219,0,0.463815789,"obama",38.7,22.6,21.3,36766,0.463716477,0.513273133,0.049556656,"bush",70400,64319,2885,61063,527,3271,979,110,1565,0.3996,0.058778092,0.8549,0.5121,0.7277,6.9,8,1.1,13.3,0,12.8,42280,0.0808988764044944,0.0151259201859744,0.0184889577683069,0.0201782254939946,9.34832519,9.656403917,4.605482624,22.36416083,77.63583917,0.00748579545454545,0.0409801136363636,0.867372159090909,9.45443803541721
53011,"Clark","WA","W","2/9/08","Caucus",1631,550,1077,0,0.323114654,"obama",602.9,30.9,9.5,170439,0.466665493,0.520103967,0.053438474,"bush",412938,347595,24948,349794,7899,3223,15919,1485,9670,0.2715,0.118123969,0.8777,0.6804,0.6725,6.9,6.9,0,12.5,0.32,11.5,51124,0.0785545044288288,0.0102885545623599,0.0114935204120056,0.0188478672683772,10.87729361,12.39431907,5.899908584,24.23715547,75.76284453,0.0191287796230911,0.0604158493526873,0.847086003225666,18.7986018210849
53013,"Columbia","WA","W","2/9/08","Caucus",16,1,15,0,0.875,"obama",4.7,22.6,18.5,2107,0.287138111,0.697674419,0.410536308,"bush",4087,4074,224,3728,13,42,29,2,49,0.4532,0.050947867,0.8274,0.5869,0.6959,8.7,8.4,-0.3,16.7,0,13.6,36599,0.0497047244094488,0.00270669291338583,0.0246062992125984,0,12.45059289,7.628458498,4.071146245,41.97628458,58.02371542,0.00318081722534867,0.0548079275752386,0.912160508930756,0.319096710849287
53015,"Cowlitz","WA","W","2/9/08","Caucus",463,184,273,0,0.192224622,"obama",82.4,28,13.3,42473,0.50829939,0.475996515,-0.032302875,"kerry",99905,93059,5922,88284,587,1413,1410,143,2146,0.3739,0.072652788,0.8317,0.6101,0.6765,7.1,8.1,1,13.4,0.27,15,42592,0.0766019709945346,0.0473275379782244,0.0128243749193097,0.0298338856134613,8.719359935,21.3759364,4.156347144,34.47587015,65.52412985,0.00587558180271258,0.059276312496872,0.883679495520745,7.35662321752866
53017,"Douglas","WA","W","2/9/08","Caucus",102,37,65,0,0.274509804,"obama",19.1,27.4,12.7,13372,0.322016153,0.665569847,0.343553694,"bush",35772,32671,8094,26493,94,325,298,22,446,0.3849,0.059450699,0.7844,0.6473,0.7096,6.8,6.7,-0.1,19.8,0.05,15.1,43372,0.148268564242554,0.0169616292979174,0.00895623102168512,0.0152439959512928,9.015242336,2.486727179,2.589484501,49.85100188,50.14899812,0.00262775355026278,0.226266353572627,0.740607178799061,9.49159805331945
53019,"Ferry","WA","W","2/9/08","Caucus",32,12,18,0,0.1875,"obama",3.3,23.2,12.6,3341,0.359473212,0.604310087,0.244836875,"bush",7560,7290,227,5776,21,1286,17,7,226,0.4936,0.034115139,0.8267,0.5781,0.7297,11.2,11.7,0.5,20.3,0,20,33124,0.065840220385675,0,0,0,0,0,5.717761557,32.76561233,67.23438767,0.00277777777777778,0.030026455026455,0.764021164021164,3.7037037037037
53021,"Franklin","WA","W","2/9/08","Caucus",123,59,63,0,0.032520325,"obama",47.6,32.3,8.5,16159,0.321059472,0.665697135,0.344637663,"bush",66570,49576,32246,31101,1190,283,1100,57,593,0.3861,0.089576328,0.6352,0.6385,0.6571,9.5,8,-1.5,23.8,0.13,17.8,41434,0.317506636674975,0.0106186799602813,0.0161104018481367,0.0134962611708918,7.43933636,10.57270025,3.717450131,45.83228592,54.16771408,0.017875920084122,0.484392368934956,0.467192429022082,34.2786832338228
53023,"Garfield","WA","W","2/9/08","Caucus",1,0,1,0,1,"obama",3.3,19.9,20.9,1320,0.276515152,0.708333333,0.431818182,"bush",2223,2393,59,2123,0,9,8,1,23,0.4655,0.047047047,0.8441,0.5476,0.7376,6.4,6.2,-0.2,14.8,0,14.3,36992,0.292866082603254,0,0.13183145598665,0,5.9566787,0,4.422382671,23.37545126,76.62454874,0,0.0265407107512371,0.955015744489429,-7.10405348934392
53025,"Grant","WA","W","2/9/08","Caucus",175,78,97,0,0.108571429,"obama",29.3,29.8,11.5,25995,0.299249856,0.684708598,0.385458742,"bush",82612,75048,28621,50558,736,809,855,33,1000,0.4191,0.061490856,0.7223,0.6234,0.6668,9,8.6,-0.4,21.6,0,17.3,38627,0.173766365900024,0.00623845350611797,0.0148999973225521,0.0306032290021152,4.066404135,15.41327446,2.500769549,54.44268716,45.55731284,0.00890911731951774,0.346450878806953,0.611993415000242,10.0788828483104
53027,"Grays Harbor","WA","W","2/9/08","Caucus",313,131,174,0,0.137380192,"obama",36.2,26.2,15.4,27953,0.521697134,0.460451472,-0.061245662,"kerry",71587,67203,4639,60562,350,3270,967,69,1730,0.438,0.050695714,0.8109,0.5785,0.6906,8.2,8.1,-0.1,16.3,0,17.2,37538,0.108343006816085,0.0150906330922404,0.0212965443343156,0.0218620710182457,7.747474399,21.09609351,4.613315864,34.16715512,65.83284488,0.00488915585231956,0.0648022685683155,0.845991590651934,6.52351829531419
53029,"Island","WA","W","2/9/08","Caucus",394,124,268,0,0.365482234,"obama",369.8,29.1,14.3,38559,0.472418891,0.512305817,0.039886927,"bush",81489,71881,3081,70527,1449,729,3261,295,2147,0.3029,0.099293846,0.921,0.6309,0.7014,5.5,5.6,0.1,12.8,0,8,47708,0.0869224964364571,0.0148131585566953,0.0186002962631711,0.0316805947622907,12.40964202,5.35668001,6.073783947,19.2322092,80.7677908,0.0177815410668925,0.0378087840076575,0.865478776276553,13.366536358704
53031,"Jefferson","WA","W","2/9/08","Caucus",243,56,179,0,0.50617284,"obama",15.5,18.4,21.1,18616,0.623657069,0.357219596,-0.266437473,"kerry",29279,26448,716,26634,224,589,387,36,693,0.3931,0.082582196,0.9157,0.5446,0.7613,5.6,5.8,0.2,13.7,0,11.5,42408,0.0743651986282896,0.013216198512696,0.00905482988479174,0.0188032212075675,9.552826904,10.76239348,4.939063502,22.62897462,77.37102538,0.00765053451279074,0.0244543871033847,0.909662215239592,10.7040229885057
53033,"King","WA","W","2/9/08","Caucus",11373,3116,8165,0,0.443946188,"obama",835.1,35.2,10.5,893534,0.649530964,0.336912753,-0.31261821,"kerry",1826732,1739212,131277,1271628,105332,14592,239363,10355,54185,0.2528,0.187229256,0.9026,0.7014,0.5985,4.6,3.7,-0.9,11.6,0.13,9.6,58351,0.161521305858147,0.00671950002130068,0.0106808502309109,0.0203755366907038,7.201936056,10.91620766,7.363360152,18.4422833,81.5577167,0.0576614413061139,0.0718644004703481,0.696121817540832,5.03216399150881
53035,"Kitsap","WA","W","2/9/08","Caucus",1291,370,904,0,0.413632843,"obama",607.1,30.4,10.6,118453,0.513249981,0.469452019,-0.043797962,"kerry",240604,232379,11123,198440,5718,3410,10945,1608,9360,0.2858,0.116340444,0.9077,0.6493,0.6741,5.1,5.1,0,11.7,0.21,9,53127,0.0775534661959141,0.00780276674900526,0.0108721423983377,0.025977609077075,9.859873358,3.353072233,6.176712008,13.67026266,86.32973734,0.023765190936144,0.0462294891190504,0.824757693138934,3.53947645871615
53037,"Kittitas","WA","W","2/9/08","Caucus",157,50,105,0,0.350318471,"obama",16.2,39.4,11.6,16084,0.418490425,0.562795325,0.144304899,"bush",37189,33496,2233,32109,333,391,1247,65,811,0.4609,0.072361059,0.872,0.6228,0.5828,6.5,6.9,0.4,16.3,0,21.7,36634,0.107397638031293,0.0205623164078892,0.00890234398417361,0.0141178586415683,13.09839995,7.323314115,3.676232429,29.49083371,70.50916629,0.00895426066847724,0.060044636854984,0.863400467880287,11.0251970384524
53039,"Klickitat","WA","W","2/9/08","Caucus",87,28,58,0,0.344827586,"obama",10.6,23.7,13.8,9237,0.4369384,0.543033452,0.106095053,"bush",20335,19241,1751,17307,40,644,125,62,406,0.4348,0.046517845,0.8167,0.6013,0.6875,9.5,9.9,0.4,17,0.8,17.4,38617,0.11330306351443,0.0158133709096602,0.0219717133761286,0.00751526538280883,6.818486269,9.77896852,3.201607502,50.35498995,49.64501005,0.00196705188099336,0.0861076960904844,0.851094172608803,5.68577516761084
53041,"Lewis","WA","W","2/9/08","Caucus",233,74,154,0,0.343347639,"obama",29,25.7,15.5,32428,0.330763538,0.648883681,0.318120143,"bush",73585,68664,5040,65489,309,938,545,138,1126,0.4143,0.051703209,0.8055,0.561,0.7143,8.5,9.7,1.2,15.9,0.2,16.3,40600,0.0806122448979592,0.0160058309037901,0.0184548104956268,0.0179737609329446,6.164655762,17.47023384,3.54491551,31.34786272,68.65213728,0.00419922538560848,0.0684922198817694,0.889977576951824,7.16678317604567
53043,"Lincoln","WA","W","2/9/08","Caucus",48,18,30,0,0.25,"obama",4.5,20.4,19,5811,0.293581139,0.690930993,0.397349854,"bush",10376,10188,233,9640,21,190,28,7,257,0.4141,0.055741627,0.8654,0.5577,0.7663,7.2,7,-0.2,14.9,0,12.6,38685,0.10163000785546,0,0.0500785545954438,0.125981932443048,10.1432215,2.040415931,5.866195801,31.37139494,68.62860506,0.00202390131071704,0.02245566692367,0.929067077872012,1.84530820573223
