"sender","subject","number","dt","dow","full","date","time","ndt"
"Stephen Volz - NOAA Federal","Re: Alabama, Dorian, and the Washington Post",396,2019-09-08 14:41:00,"Sunday","September 8, 2019 2:41 PM","September 8, 2019","2:41 PM",1567968060
"RNK Skywarn","Fwd: Lying for Trump",397,2019-09-08 15:14:00,"Sunday","September 8, 2019 3:14 PM","September 8, 2019","3:14 PM",1567970040
"Mary Erickson - NOAA Federal","Re: Phone Numbers for NWS Offices",398,2019-09-08 15:25:00,"Sunday","September 8, 2019 3:25 PM","September 8, 2019","3:25 PM",1567970700
"Christopher Vaccaro - NOAA Federal","Re: Lying for Trump",399,2019-09-08 15:27:00,"Sunday","September 8, 2019 3:27 PM","September 8, 2019","3:27 PM",1567970820
"John Murphy - NOAA Federal","Re: Phone Numbers for NWS Offices",400,2019-09-08 15:28:00,"Sunday","September 8, 2019 3:28 PM","September 8, 2019","3:28 PM",1567970880
"Mary Erickson - NOAA Federal","Re: Phone Numbers for NWS Offices",401,2019-09-08 15:40:00,"Sunday","September 8, 2019 3:40 PM","September 8, 2019","3:40 PM",1567971600
"Darin Figurskey NOAA Federal","Re: Phone Numbers for NWS Offices",402,2019-09-08 15:46:00,"Sunday","September 8, 2019 3:46 PM","September 8, 2019","3:46 PM",1567971960
"Linda LawhornBrown - NOAA Federal","Re: Alabama",403,2019-09-08 16:04:00,"Sunday","September 8, 2019 4:04 PM","September 8, 2019","4:04 PM",1567973040
"George Jungbluth - NOAA Federal","Re: Phone Numbers for NWS Offices",404,2019-09-08 16:04:00,"Sunday","September 8, 2019 4:04 PM","September 8, 2019","4:04 PM",1567973040
"Nicole LeBoeuf - NOAA Federal","NOS' Response to Hurricane Dorian",405,2019-09-08 16:12:00,"Sunday","September 8, 2019 4:12 PM","September 8, 2019","4:12 PM",1567973520
"Nicole LeBoeuf - NOAA Federal","Fwd: NOS' Response to Hurricane Dorian",406,2019-09-08 16:13:00,"Sunday","September 8, 2019 4:13 PM","September 8, 2019","4:13 PM",1567973580
"Louis Uccellini - NOAA Federal","Re: NOS' Response to Hurricane Dorian",407,2019-09-08 16:17:00,"Sunday","September 8, 2019 4:17 PM","September 8, 2019","4:17 PM",1567973820
"Nicole LeBoeuf - NOAA Federal","Re: NOS' Response to Hurricane Dorian",408,2019-09-08 16:21:00,"Sunday","September 8, 2019 4:21 PM","September 8, 2019","4:21 PM",1567974060
"Louis Uccellini - NOAA Federal","Re: NOS' Response to Hurricane Dorian",409,2019-09-08 16:23:00,"Sunday","September 8, 2019 4:23 PM","September 8, 2019","4:23 PM",1567974180
"Nicole LeBoeuf - NOAA Federal","Re: NOS' Response to Hurricane Dorian",410,2019-09-08 16:24:00,"Sunday","September 8, 2019 4:24 PM","September 8, 2019","4:24 PM",1567974240
"Stuart Levenbach - NOAA Federal","Re: Alabama",411,2019-09-08 16:24:00,"Sunday","September 8, 2019 4:24 PM","September 8, 2019","4:24 PM",1567974240
"Mary Erickson - NOAA Federal","Re: Phone Numbers for NWS Offices",412,2019-09-08 16:31:00,"Sunday","September 8, 2019 4:31 PM","September 8, 2019","4:31 PM",1567974660
"Linda LawhornBrown - NOAA Federal","Re: Alabama",413,2019-09-08 16:51:00,"Sunday","September 8, 2019 4:51 PM","September 8, 2019","4:51 PM",1567975860
"Mary Erickson - NOAA Federal","Fwd: Regarding reports on path of Hurricane Dorian",414,2019-09-08 17:14:00,"Sunday","September 8, 2019 5:14 PM","September 8, 2019","5:14 PM",1567977240
"Mary Erickson - NOAA Federal","Fwd: Regarding reports on path of Hurricane Dorian",415,2019-09-08 17:14:00,"Sunday","September 8, 2019 5:14 PM","September 8, 2019","5:14 PM",1567977240
"Louis Uccellini - NOAA Federal","Re: Regarding reports on path of Hurricane Dorian",416,2019-09-08 17:24:00,"Sunday","September 8, 2019 5:24 PM","September 8, 2019","5:24 PM",1567977840
"NWS PCO - NOAA Service Account","Re: Heads Up: Media at NWA",417,2019-09-08 18:29:00,"Sunday","September 8, 2019 6:29 PM","September 8, 2019","6:29 PM",1567981740
